번호,발행시간,뉴스제목,단축링크
1,"Fri, 10 Apr 2026 23:26:00 GMT",‘가짜 질병’에 낚인 AI…진짜처럼 퍼나르고 학술지 인용까지 - 한겨레,https://tinyurl.com/2258hqz7
2,"Thu, 09 Apr 2026 09:07:00 GMT","""바이오 R&D AI 쏠림 우려…모든 연구에 AI 필요한 건 아냐"" - 동아사이언스",https://tinyurl.com/2ag4qenm
3,"Sat, 11 Apr 2026 00:51:27 GMT","성남시청소년청년재단, AI·로봇코딩 통합교육…청소년 미래역량 강화 - v.daum.net",https://tinyurl.com/2dqte7wq
4,"Fri, 10 Apr 2026 23:00:03 GMT","브로드컴, AI 인프라 핵심 플레이어 될까…지지부진 주가도 반등? - 마켓인",https://tinyurl.com/225rynru
5,"Sat, 11 Apr 2026 00:34:15 GMT",오픈AI '스타게이트' 핵심 인력 줄이탈…데이터센터 전략 흔들리나 - v.daum.net,https://tinyurl.com/25gzmh4y
6,"Fri, 10 Apr 2026 21:03:00 GMT",인공지능이 볼때 인간은 닭 지능 수준이라고? - KBS 뉴스,https://tinyurl.com/27wstsj4
7,"Fri, 10 Apr 2026 00:18:34 GMT","고양시, 공직자 대상 디지털·인공지능 교육 추진 - 연합뉴스",https://tinyurl.com/26bx2vv2
8,"Fri, 10 Apr 2026 22:00:00 GMT",[피지컬 AI가 제조의 미래다] ①“이제 ‘피지컬 AI’가 현실 세계를 삼킨다” - 전기신문,https://tinyurl.com/2xulvykc
9,"Fri, 10 Apr 2026 05:40:00 GMT",‘각도가 생명’ 무릎 인공관절 수술··· 인공지능 도입으로 오차 줄인다 - 경향신문,https://tinyurl.com/2attreeo
10,"Fri, 10 Apr 2026 06:44:00 GMT",인공지능 사회로의 혁신 전환을 위한 해법 찾는다 - 보안뉴스,https://tinyurl.com/25u9cohz
