번호,발행시간,뉴스제목,단축링크
1,"Mon, 26 Jan 2026 21:00:12 GMT",막내는 어디로 갔나…인공지능이 끊어버린 ‘취업 사다리’ [AI가 삼킨 청년들②] - 쿠키뉴스,https://tinyurl.com/2cj8aajl
2,"Mon, 26 Jan 2026 11:10:15 GMT",“우리 회사도 고영향 AI에 해당하나”...AI 기본법 5가지 체크리스트 - AI타임스,https://tinyurl.com/23f5acmx
3,"Tue, 27 Jan 2026 02:21:00 GMT","[S리포트] ⑤인공지능전략위원회, AI기본법으로 달라질까 - 네이트",https://tinyurl.com/2xj4g7xl
4,"Sun, 25 Jan 2026 08:44:45 GMT","LGU+, 전사 AI 관리 체계 가동…'인공지능 기본법' 대응 - 블로터",https://tinyurl.com/227f253y
5,"Tue, 27 Jan 2026 11:26:46 GMT","구글 딥마인드, 픽사 출신 감독 협업… 생성형 AI로 완성한 애니메이션, 선댄스서 공개 - 인공지능신문",https://tinyurl.com/24xa9qtl
6,"Tue, 27 Jan 2026 11:30:02 GMT","[현장] 지브라 ""노동자 80%는 현업…AI 혁신은 실무 환경부터"" - 지디넷코리아",https://tinyurl.com/2ynse2la
7,"Tue, 27 Jan 2026 11:34:16 GMT","신입 안 뽑는 AI 시대‥""대학교육, '첫 경력' 만들어줘야"" - MBC 뉴스",https://tinyurl.com/25by9jj3
8,"Tue, 27 Jan 2026 03:35:37 GMT","정보통신정책연구원, OECD 인공지능 협력 전략 제시 - 뉴스1",https://tinyurl.com/23uodneo
9,"Tue, 27 Jan 2026 01:09:00 GMT","전 세계 최초… 현대캐피탈, '혁신적 인공지능 응용상' 3회 수상 - 머니투데이",https://tinyurl.com/2bh38zdt
10,"Tue, 27 Jan 2026 02:28:08 GMT","현대캐피탈, 세계 금융사 최초 국제인공지능학회 3회 수상 - 헤럴드경제",https://tinyurl.com/225eex6q
